x y
699.8313374728008 512.6285567036499
709.8601655713879 499.97092490339276
1389.1489949804436 697.7248393061471
128.7180009604918 797.4961376915971
1401.7235216368795 715.355083247731
686.3655749648816 496.3474708468836
104.67362159557001 808.7141613519717
92.36862856389095 783.7870348610049
893.8973461391715 1307.4906949722845
698.3224776558766 495.32183263433654
705.6914945912681 480.55056606182995
898.0623875898411 1299.02894710713
915.3693101464123 1296.441210554461
103.71649895117686 794.5575183468972
592.2360259527424 887.5904632955586
888.6018323644332 1288.4727283194325
600.4960574940862 902.3257775098998
705.5310635083231 489.127428476121
1401.5729748767974 717.6711031110514
1104.3845364409274 1094.1806228512185
1096.3916279568732 1088.5581416333432
1412.6461215023844 702.2065447873026
1396.4232197908077 702.2480793050032
707.5575938380439 514.8942185027046
884.0525116642057 1295.029945170737
606.3348582500134 890.3747052291849
695.3504894107696 501.90722161448855
1394.8693744497896 689.213523211777
99.71144196638889 783.8524838635743
595.3669917448602 894.0070144774334
601.9421981072188 896.7811333025503
101.80267552939966 793.7685393312511
1097.3226298111858 1112.0035600742267
1092.5717888835495 1099.1714253984405
1410.5555670426443 716.1187899891254
1116.8234107001033 1108.4872525985115
108.05189144084153 792.2077306751329
1401.4498120955343 696.1897252857796
610.6923577983257 903.7959207295775
600.1568512084291 894.3517789376463
108.6499437972965 790.488712435592
1114.1374643219042 1103.7794667992453
91.7769686238355 800.5946343671593
703.5744691266942 491.4458658083331
126.54623640156717 808.4433198880303
604.5933198318262 893.1622942347709
915.2633079614662 1313.394826345149
902.9250036130344 1297.4285778527126
1096.2601739024306 1109.0390295183076
1101.290156110356 1098.082345634165
1079.1374056826928 1102.0560491086887
1401.2675760601564 698.4546030779865
895.4948950744653 1285.5735455963045
701.671711936906 504.25231225714174
580.461725750148 919.3400599679305
908.6217392580917 1319.8250856881207
604.3043826872135 896.4518889991992
1098.9148024571623 1087.6077647174338
1409.0716852253381 700.4386167074864
897.5927461365131 1293.551904097963
